question_id,type,question_intro,question_text,answer
1,Siglas,¿Qué significan las siglas...,APAPEP,Asociación de Parejas Afectadas Por la Eyaculación Precoz
2,Siglas,¿Qué significan las siglas...,FMLH,Federación mundial del lanzamiento de huevos
3,Siglas,¿Qué significan las siglas...,LHO,Lanzamiento Huesos de Oliva
4,Siglas,¿Qué significan las siglas...,CMEG,Campeonato mundial de encantamiento de gusanos
5,Siglas,¿Qué significan las siglas...,CMLDP,Campeonato mundial de lucha de dedo de pie
6,Siglas,¿Qué significan las siglas...,AMAB,Asociación mundial de ajedrez boxeo
7,Siglas,¿Qué significan las siglas...,PRUAD,Plataforma Recreativa la Unión Amigos del Dominó 
8,Siglas,¿Qué significan las siglas...,HNDA,Hermandad Nacional División Azul
9,Siglas,¿Qué significan las siglas...,ATEAVA,Asociación de Trabajadores Esenciales Afectados por la Vacuna Astrazeneca
10,Siglas,¿Qué significan las siglas...,AACSF,Asociación de Afectados por la construcción de la Sagrada Familia
11,Siglas,¿Qué significan las siglas...,AAC,Asociación de Afectados por las Criptomonedas 
12,Siglas,¿Qué significan las siglas...,CAdC,Club de Amigos del Cocido
13,Siglas,¿Qué significan las siglas...,CATTV,Club de Amigos el Toro TV
14,Siglas,¿Qué significan las siglas...,UDG,Union deportiva guarroman
15,Siglas,¿Qué significan las siglas...,ACDACP,Asociación Cultural Deportiva Amigos del Caballo de Pepino
16,Siglas,¿Qué significan las siglas...,FPDG,Fundación para la Dignidad del Hombre
17,Siglas,¿Qué significan las siglas...,PeC,Pajas entre Colegas
18,Siglas,¿Qué significan las siglas...,AATT,Asociación de Asalariados del Taxi de Torremolinos
19,Siglas,¿Qué significan las siglas...,PAAMSE,Plataforma Andaluza de Asociaciones Mixtas de Separados
20,Siglas,¿Qué significan las siglas...,AACSM,Asociación de Afectados por el Caciquismo en la Sierra de Madrid
21,Siglas,¿Qué significan las siglas...,AAV,Asociación Amigos de la Verbena
22,Siglas,¿Qué significan las siglas...,AHMPHGM,Archicofradia y Hermandad para la Memoria de la Pasion Historica y Gloria Mariana
23,Siglas,¿Qué significan las siglas...,AMAVAAAD,Asociación Madrileña de Vecinos Amigos de la Virgen del Abrazo la Abrazada por Dios
24,Siglas,¿Qué significan las siglas...,AJAMG,Asociación Juvenil Ancestos de los Magos Grises
25,Siglas,¿Qué significan las siglas...,AACESM,Asociación de la Alegre Cofradía del Entierro de la Sardina de Madrid
26,Siglas,¿Qué significan las siglas...,ACRF,Asociación Comparsa Rosquilleras de Fuenlabrada
27,Siglas,¿Qué significan las siglas...,CSVCRE,Club Siempre Verde de los Chinos Residentes en España
28,Siglas,¿Qué significan las siglas...,ACFCL,Asociación Cultural Futbol Chapas Leganes
29,Siglas,¿Qué significan las siglas...,ACUAC,Asociación Cultural Unicornio Azul Clarito
30,Siglas,¿Qué significan las siglas...,CGCAVM,Club Gastronomico Cervantes Amigos del Vino y del Mus
31,Siglas,¿Qué significan las siglas...,HVTNS,Hermandad de Veteranos de las Tropas Nomadas del Sahara
32,Siglas,¿Qué significan las siglas...,PDT,Programa de detección de Talento
33,Siglas,¿Qué significan las siglas...,AMGF,Asociación Mundial de Gente Fea
34,Siglas,¿Qué significan las siglas...,SSP,Sociedad de Sheila y su Perro
35,Siglas,¿Qué significan las siglas...,SACDA,Sociedad Americana de Cebolla Deshidratada y Ajo
36,Siglas,¿Qué significan las siglas...,SANC,Sociedad de Apreciación a Nicolas Cage
37,Siglas,¿Qué significan las siglas...,CPFEPC,Club de Pelo que Fluye Exuberante para los Cientificos
38,Siglas,¿Qué significan las siglas...,APEL,Asociación para el estudio de Lapidas
39,Siglas,¿Qué significan las siglas...,CALB,Confederación Africana-Levantina de Billar
40,Siglas,¿Qué significan las siglas...,CEEV,Centro de Educación Especial para Vagos
41,Siglas,¿Qué significan las siglas...,ICIS,Independientes Con Inclinación Socialista
42,Siglas,¿Qué significan las siglas...,CNPJ,Concurso Nacional de Paellas para Jubilados
43,Siglas,¿Qué significan las siglas...,CIS,Club Internacional de Suegras
44,Siglas,¿Qué significan las siglas...,CEGP,Club Español de Gimnasia Pasiva
45,Siglas,¿Qué significan las siglas...,CDCVNN,Comisión de Defensar de una Costa Vasca No Nuclear
46,Siglas,¿Qué significan las siglas...,CIHV,Concurso Intenacional de Helados de Verduras
47,Siglas,¿Qué significan las siglas...,ANVP,Asociación Nacional de Vendedores con Pajarita
48,Siglas,¿Qué significan las siglas...,APPHAI,Asociación para la Promoción del Humor en Asuntos Internacionales
49,Siglas,¿Qué significan las siglas...,COVA,Colegio Oficial de Videntes en Activo
50,Siglas,¿Qué significan las siglas...,ENEQ,Equipo Nacional Español de Quidditch
51,Siglas,¿Qué significan las siglas...,CMBC,Caimanes de Madrid Beisbol Club
52,Siglas,¿Qué significan las siglas...,CATS,Comite de Apoyo a las Trabajadoras del Sexo
53,Siglas,¿Qué significan las siglas...,CJAS,Centros Jóvenes de Anticoncepción y Sexualidad
54,Siglas,¿Qué significan las siglas...,APTM,Asociación Por Ti Mujer
55,Siglas,¿Qué significan las siglas...,PDGL,Partido Democrata Gay Lesbico
56,Siglas,¿Qué significan las siglas...,PERI,Partido Ecologísta Radical Intransigente
57,Siglas,¿Qué significan las siglas...,PAEA,Partido Australiano Entusiastas del Automovilismo
58,Siglas,¿Qué significan las siglas...,PDLC,Partido de la Cerveza
59,Siglas,¿Qué significan las siglas...,AAMR,Asociación de Artes Marciales Renacentistas
60,Siglas,¿Qué significan las siglas...,ANPP,Asociación Nacional de Paseadores de Perros
61,Siglas,¿Qué significan las siglas...,CDHG,Club de Hombres Gordos
62,Siglas,¿Qué significan las siglas...,ATCE,Asociación Tolkien Catolica de España
63,Siglas,¿Qué significan las siglas...,ALSV,Asociación Lucha y Sonrie por la Vida
64,Siglas,¿Qué significan las siglas...,FELB,FEDERACION ESPAÑOLA DE LUCHA DE BRAZOS
65,Siglas,¿Qué significan las siglas...,GPSCR,Gran Procesión del Santo Chumino Rebelde
66,Siglas,¿Qué significan las siglas...,LCSAP,Liga Comunista Servir Al Pueblo
67,Siglas,¿Qué significan las siglas...,PNOJ,Partido Nacionalsocialista Obrero Japones
68,Siglas,¿Qué significan las siglas...,PPFS,Partido Popular Fascista de Suecia
69,Siglas,¿Qué significan las siglas...,JCAH,Juntas Castellanas de Actuación Hispanica
70,Siglas,¿Qué significan las siglas...,FSB,Falange Socialista Boliviana
71,Siglas,¿Qué significan las siglas...,MQMT,Museo del Queso Manchego de Toledo 
72,Siglas,¿Qué significan las siglas...,RCDN,Real Colegio de Doncellas Nobles
73,Siglas,¿Qué significan las siglas...,AAGR,Asociación Amigos de los Gatos del Retiro
74,Siglas,¿Qué significan las siglas...,APP,Asociación de Padel de Pichincha
75,Siglas,¿Qué significan las siglas...,APSP,Asociación de Personas Sordas de Parla
76,Siglas,¿Qué significan las siglas...,ACCG,Asociación de Criadores de Cabra del Guadarrama
77,Siglas,¿Qué significan las siglas...,AAMA,Asociación Antirracista de Madres Afrodescendientes
78,Siglas,¿Qué significan las siglas...,ABPT,Asociación de Baile Punta Tacon
79,Siglas,¿Qué significan las siglas...,ACGREA,Asociación de Criadores de Gallinas de Raza Extremeña Azul
80,Siglas,¿Qué significan las siglas...,AVAP,Asociación de Veteranos Artilleros Paracaidistas
81,Siglas,¿Qué significan las siglas...,ACATC,Asociación Club de Amigos de los Tractores Clasicos
82,Siglas,¿Qué significan las siglas...,AECCE,Asociación Española de Criadores de Conejos Enanos
83,Siglas,¿Qué significan las siglas...,ACLEB,Asociación de Comerciantes Legales de Encajes de Bolillos
84,Siglas,¿Qué significan las siglas...,ASABE,Asociación de Amigos de la Bandera Española
85,Siglas,¿Qué significan las siglas...,PAPP,Partido Anti Power Point
86,Siglas,¿Qué significan las siglas...,PACP,Partido de Amantes de la Cerveza de Polonia
87,Siglas,¿Qué significan las siglas...,PPD,Partido de las Pistolas y Drogas
88,Siglas,¿Qué significan las siglas...,CMLT,Campeonato Mundial de Lanzamiento de Telefono
89,Siglas,¿Qué significan las siglas...,CLTO,Campeonato de Lanzamiento de Taburete de Ordeñar
90,Siglas,¿Qué significan las siglas...,CMGI,Campeonato del Mundo de Guitarra Invisible
91,Siglas,¿Qué significan las siglas...,CMFP,Campeonato Mundial de Futbol en Pantanos
92,Siglas,¿Qué significan las siglas...,AMBA,Asociación Mundial de Boxeo-Ajedrez
93,Siglas,¿Qué significan las siglas...,AIEZ,Asociación Internacional de Estudios de Zombis
94,Siglas,¿Qué significan las siglas...,SIFS,Sociedad Internacional de Física de Superheroes
95,Siglas,¿Qué significan las siglas...,SIED,Sociedad Internacional de Estudios sobre Dragones
96,Siglas,¿Qué significan las siglas...,AIRP,Asociación de Investigadores de Realidades Paralelas
97,Siglas,¿Qué significan las siglas...,AMIVT,Asociación Mundial de Ingeniería de Viajes en el Tiempo
98,Siglas,¿Qué significan las siglas...,AEFP,Asociación Española de Fetichistas de Pies
99,Palabras,¿Qué significa la palabra...,Barrenado,Alguien perturbado
100,Palabras,¿Qué significa la palabra...,Bahorrina,Conjunto de cosas asquerosas mezcladas con agua sucia
101,Palabras,¿Qué significa la palabra...,Almiforero,Ladron especializado en la toma de caballos y mulas
102,Palabras,¿Qué significa la palabra...,Amación,Enamoramiento místico
103,Palabras,¿Qué significa la palabra...,Batimán,Cuando alguien mueve muy rapido los brazos al hablar
104,Palabras,¿Qué significa la palabra...,Bosta,Mierda de vaca o caballo
105,Palabras,¿Qué significa la palabra...,Búa,Tumorcillo que sale en el cuerpo
106,Palabras,¿Qué significa la palabra...,Carpanta,Hambre violenta
107,Palabras,¿Qué significa la palabra...,Catoptromancia,Ciencia de adivinar por medio de un espejo
108,Palabras,¿Qué significa la palabra...,Dogal,Cuerda que se usaba para ahorcar a peña
109,Palabras,¿Qué significa la palabra...,Doñear,Cortejar o andar entre mujeres
110,Palabras,¿Qué significa la palabra...,Drogman,Persona que interpreta lenguas
111,Palabras,¿Qué significa la palabra...,Epulón,El que come y se regala mucho
112,Palabras,¿Qué significa la palabra...,Modrego,Hombre torpe y sin gracia
113,Palabras,¿Qué significa la palabra...,Pesiar,Echar maldiciones a la gente
114,Palabras,¿Qué significa la palabra...,Petardista,Persona que estafa a otras
115,Palabras,¿Qué significa la palabra...,Petrera,Combate a pedradas
116,Palabras,¿Qué significa la palabra...,Pigre,"Persona que no da una, negligente y perezosa"
117,Palabras,¿Qué significa la palabra...,Plepa,Animal o persona que tiene muchos defectos fisicos
118,Palabras,¿Qué significa la palabra...,Remoque,Se dice de algo picante u obsceno
